"","Time","Blank","WT","WT","WT","WT","ΔenvZ","ΔenvZ","ΔenvZ","ΔenvZ","ΔompR","ΔompR","ΔompR","ΔompR","envZ ΔompR","envZ ΔompR","envZ ΔompR","envZ ΔompR","envZ","envZ","envZ","envZ"
"1",NA,"",1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"2",NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,"0",0.011,0.012,0.007,0.008,0.013,0.012,0.006,0.008,0.013,0.012,0.008,0.007,0.012,0.011,0.006,0.014,0.014,0.013,0.007,0.006
"4",1,"0",0.019,0.018,0.013,0.015,0.021,0.016,0.013,0.014,0.015,0.018,0.011,0.012,0.014,0.012,0.013,0.018,0.019,0.019,0.015,0.016
"5",2,"0",0.034,0.028,0.025,0.027,0.032,0.029,0.024,0.026,0.016,0.022,0.018,0.017,0.017,0.019,0.017,0.023,0.033,0.029,0.027,0.026
"6",3,"0",0.056,0.051,0.046,0.049,0.046,0.039,0.043,0.044,0.017,0.03,0.017,0.022,0.014,0.023,0.02,0.025,0.06,0.052,0.053,0.045
"7",4,"0",0.083,0.085,0.067,0.077,0.067,0.051,0.059,0.058,0.017,0.037,0.013,0.021,0.016,0.019,0.02,0.027,0.11,0.078,0.098,0.083
"8",5,"0",0.09,0.099,0.083,0.101,0.05,0.043,0.059,0.055,0.014,0.04,0.011,0.021,0.016,0.014,0.018,0.029,0.178,0.112,0.164,0.141
"9",6,"0",0.102,0.101,0.086,0.102,0.038,0.033,0.056,0.051,0.014,0.037,0.008,0.02,0.014,0.014,0.02,0.029,0.236,0.144,0.222,0.202
"10",7,"0",0.082,0.102,0.085,0.108,0.034,0.028,0.053,0.045,0.011,0.03,0.013,0.019,0.012,0.012,0.017,0.025,0.256,0.164,0.259,0.23
"11",8,"0",0.083,0.089,0.083,0.101,0.028,0.026,0.05,0.042,0.012,0.022,0.011,0.015,0.012,0.011,0.014,0.018,0.265,0.165,0.279,0.252
"12",9,"0",0.069,0.072,0.08,0.095,0.033,0.024,0.042,0.035,0.012,0.025,0.011,0.014,0.012,0.011,0.012,0.022,0.264,0.151,0.287,0.267
"13",10,"0",0.069,0.066,0.069,0.091,0.028,0.025,0.043,0.038,0.011,0.02,0.011,0.015,0.011,0.011,0.014,0.017,0.277,0.159,0.296,0.273
"14",11,"0",0.055,0.057,0.065,0.088,0.032,0.026,0.038,0.036,0.013,0.023,0.011,0.013,0.013,0.011,0.015,0.025,0.278,0.146,0.3,0.278
"15",12,"0",0.05,0.049,0.057,0.076,0.03,0.023,0.037,0.035,0.013,0.021,0.009,0.014,0.01,0.012,0.012,0.018,0.282,0.154,0.295,0.268
